,0,1,2,3
0,1.0,1.0,-1.113973,2.251535
1,1.0,2.0,-0.0808538,1.242346
2,1.0,3.0,-0.2376072,-1.426376
3,1.0,4.0,-0.1524857,-1.109394
4,1.0,5.0,-0.0014262,0.9146864
5,1.0,6.0,-1.212737,-1.424686
6,1.0,7.0,-0.1272733,0.7589449
7,1.0,8.0,-1.433539,0.9296525
8,1.0,9.0,-0.2421959,1.056465
9,1.0,10.0,0.4609221,3.308434
10,2.0,1.0,-0.5507909,-2.545477
11,2.0,2.0,-1.287685,-3.02192
12,2.0,3.0,-0.220503,-1.003296
13,2.0,4.0,0.8143178,-0.118388
14,2.0,5.0,-0.0463721,-1.27967
15,2.0,6.0,0.6220436,-3.539696
16,2.0,7.0,-0.6530094,-2.235361
17,2.0,8.0,0.0294105,-2.552972
18,2.0,9.0,-0.5297469,-2.697836
19,2.0,10.0,1.062629,-0.2633513
20,3.0,1.0,-1.068723,1.526512
21,3.0,2.0,-1.487991,-1.168439
22,3.0,3.0,-0.814688,1.043587
23,3.0,4.0,-0.2338627,-0.1197725
24,3.0,5.0,0.1520617,0.8082583
25,3.0,6.0,-0.7190769,0.4063513
26,3.0,7.0,-0.789831,0.1766931
27,3.0,8.0,0.2342699,-0.0555624
28,3.0,9.0,-1.761113,2.518384
29,3.0,10.0,-0.3273719,-0.7832754
30,4.0,1.0,-0.2296702,-2.250634
31,4.0,2.0,-0.2630124,-4.333897
32,4.0,3.0,-1.149102,-5.923194
33,4.0,4.0,-1.545472,-4.946723
34,4.0,5.0,-0.4622119,-4.187626
35,4.0,6.0,-0.897935,-2.35512
36,4.0,7.0,-0.0184996,-0.5751319
37,4.0,8.0,-1.528389,-5.423674
38,4.0,9.0,-0.4938884,-5.3437
39,4.0,10.0,-1.502312,-4.846558
40,5.0,1.0,2.779623,2.437731
41,5.0,2.0,0.8433719,1.258013
42,5.0,3.0,0.9458475,2.086509
43,5.0,4.0,0.7096778,-1.228165
44,5.0,5.0,1.899227,1.900515
45,5.0,6.0,1.166349,0.7273204
46,5.0,7.0,1.181561,2.911051
47,5.0,8.0,2.706866,1.111888
48,5.0,9.0,1.545396,3.96031
49,5.0,10.0,1.981749,1.977234
50,6.0,1.0,-0.9365615,-0.2101905
51,6.0,2.0,0.6461006,2.049301
52,6.0,3.0,-0.4348849,-0.1027518
53,6.0,4.0,-0.0757555,2.485265
54,6.0,5.0,-0.7847632,0.2498533
55,6.0,6.0,-0.5248117,3.359383
56,6.0,7.0,-1.255933,0.9409757
57,6.0,8.0,-0.6616459,-0.5577587
58,6.0,9.0,-0.3824796,1.318928
59,6.0,10.0,0.2396478,1.55268
60,7.0,1.0,1.623504,2.128958
61,7.0,2.0,0.7098557,-0.3429381
62,7.0,3.0,0.2069566,0.7544986
63,7.0,4.0,1.820897,1.98184
64,7.0,5.0,1.621639,3.058263
65,7.0,6.0,1.50036,0.7002476
66,7.0,7.0,0.1174462,0.5142314
67,7.0,8.0,0.9641763,2.592447
68,7.0,9.0,1.188708,3.484527
69,7.0,10.0,0.8094589,1.059548
70,8.0,1.0,-0.8293902,-3.095103
71,8.0,2.0,-0.0773441,-1.075754
72,8.0,3.0,-1.059797,-1.427806
73,8.0,4.0,0.7497107,-0.5424759
74,8.0,5.0,-0.0257226,-0.9234265
75,8.0,6.0,0.1400615,-3.386066
76,8.0,7.0,-0.1043562,-1.617814
77,8.0,8.0,-0.2583136,1.359765
78,8.0,9.0,-0.0208603,-1.772177
79,8.0,10.0,-0.4723518,-4.76895
80,9.0,1.0,1.332783,1.145341
81,9.0,2.0,-0.6728608,0.5174692
82,9.0,3.0,-0.4754492,0.3798001
83,9.0,4.0,-0.6039808,-1.239824
84,9.0,5.0,0.1309609,1.316887
85,9.0,6.0,-1.086091,-0.8632649
86,9.0,7.0,0.0309397,0.117274
87,9.0,8.0,0.3321901,0.5235909
88,9.0,9.0,-0.5372118,0.7940336
89,9.0,10.0,-0.6328836,0.7600009
90,10.0,1.0,1.370561,0.1820614
91,10.0,2.0,1.633542,4.072609
92,10.0,3.0,0.7839341,0.970894
93,10.0,4.0,2.220442,0.3808429
94,10.0,5.0,1.79873,3.506714
95,10.0,6.0,1.163082,0.9684718
96,10.0,7.0,1.18292,0.4053151
97,10.0,8.0,0.9972349,1.02293
98,10.0,9.0,2.089964,4.046412
99,10.0,10.0,2.753031,0.9294024
100,11.0,1.0,1.574512,-0.3453712
101,11.0,2.0,1.295469,0.9458361
102,11.0,3.0,0.8262731,-2.631818
103,11.0,4.0,-0.7519966,-3.259816
104,11.0,5.0,1.85721,-1.481273
105,11.0,6.0,1.313615,-0.1135894
106,11.0,7.0,0.4492904,-1.354932
107,11.0,8.0,1.282646,-0.7164733
108,11.0,9.0,0.793996,1.56023
109,11.0,10.0,1.81194,-2.335421
110,12.0,1.0,0.3962149,3.406662
111,12.0,2.0,0.4690258,0.3962663
112,12.0,3.0,-0.4272058,-0.5746272
113,12.0,4.0,-0.6374772,-0.0199228
114,12.0,5.0,0.4908172,2.181542
115,12.0,6.0,0.2576996,2.100275
116,12.0,7.0,1.045368,3.721958
117,12.0,8.0,-1.523433,-2.673755
118,12.0,9.0,0.2149735,0.4150824
119,12.0,10.0,0.9596599,1.279467
120,13.0,1.0,-0.0050541,-0.2301515
121,13.0,2.0,0.0573285,-4.603349
122,13.0,3.0,-0.2873524,-3.122442
123,13.0,4.0,-0.9560087,-2.047489
124,13.0,5.0,-0.1322481,-2.479723
125,13.0,6.0,0.8563187,-1.100657
126,13.0,7.0,0.5628442,-2.072644
127,13.0,8.0,0.0939828,-3.75598
128,13.0,9.0,-1.128489,-4.817086
129,13.0,10.0,-0.1227113,-2.103747
130,14.0,1.0,0.7103909,1.28138
131,14.0,2.0,0.8252832,3.881294
132,14.0,3.0,0.3337111,0.0889839
133,14.0,4.0,-0.0575897,0.6532867
134,14.0,5.0,-0.4192458,0.390807
135,14.0,6.0,0.3601439,1.74841
136,14.0,7.0,-1.393545,-0.2194363
137,14.0,8.0,-0.0698411,-0.4834067
138,14.0,9.0,0.2814299,1.426163
139,14.0,10.0,1.181061,3.507429
140,15.0,1.0,1.009861,-1.532208
141,15.0,2.0,1.311839,-0.8157541
142,15.0,3.0,1.498951,1.96216
143,15.0,4.0,1.455375,0.4142921
144,15.0,5.0,1.400201,0.4846902
145,15.0,6.0,1.145606,1.750008
146,15.0,7.0,2.791482,0.5052052
147,15.0,8.0,2.462629,0.3794637
148,15.0,9.0,2.243632,1.976851
149,15.0,10.0,2.540534,4.890906
150,16.0,1.0,-1.32975,0.9970715
151,16.0,2.0,-1.093146,0.8712451
152,16.0,3.0,-0.6130105,-0.0015206
153,16.0,4.0,-1.686704,-0.7815932
154,16.0,5.0,-0.5000154,1.08846
155,16.0,6.0,-2.321311,-0.9686073
156,16.0,7.0,-1.000255,-0.8243695
157,16.0,8.0,-1.689007,-0.3098336
158,16.0,9.0,-2.105825,-1.594268
159,16.0,10.0,-0.1087233,2.540669
160,17.0,1.0,-0.1834565,-0.7474391
161,17.0,2.0,1.760618,0.664487
162,17.0,3.0,0.917949,-0.2989441
163,17.0,4.0,0.125932,-2.346791
164,17.0,5.0,0.1489584,0.6523662
165,17.0,6.0,1.48386,0.9892153
166,17.0,7.0,-0.0756009,-3.088845
167,17.0,8.0,0.3020325,-2.159972
168,17.0,9.0,1.277132,-0.3618947
169,17.0,10.0,1.257159,-0.259792
170,18.0,1.0,1.350247,1.825974
171,18.0,2.0,0.7981172,2.452424
172,18.0,3.0,0.1627823,-1.100261
173,18.0,4.0,-0.2530656,-0.1072167
174,18.0,5.0,1.409152,3.023995
175,18.0,6.0,0.9650795,4.045239
176,18.0,7.0,0.7924365,-1.429348
177,18.0,8.0,0.4374514,2.007032
178,18.0,9.0,1.433336,-0.0483654
179,18.0,10.0,-0.4121532,0.0446989
180,19.0,1.0,-0.6057982,-2.072419
181,19.0,2.0,-1.22436,-0.9157416
182,19.0,3.0,-0.4113617,-1.730782
183,19.0,4.0,0.5172122,1.605569
184,19.0,5.0,0.5599416,-1.911302
185,19.0,6.0,0.2631143,-2.46949
186,19.0,7.0,1.052545,1.815052
187,19.0,8.0,-0.4619475,-1.493746
188,19.0,9.0,-0.1950531,0.12866
189,19.0,10.0,0.9847641,0.4901831
190,20.0,1.0,1.194973,3.08798
191,20.0,2.0,0.2886658,-0.1272869
192,20.0,3.0,1.372576,0.9298378
193,20.0,4.0,0.3359049,-0.7808023
194,20.0,5.0,0.2632762,-0.5619125
195,20.0,6.0,1.389192,0.6404333
196,20.0,7.0,1.002251,-1.225412
197,20.0,8.0,0.9873933,0.1694237
198,20.0,9.0,0.5451626,1.069149
199,20.0,10.0,1.272609,0.1138117
200,21.0,1.0,0.0715169,0.9921842
201,21.0,2.0,-0.5385422,2.645248
202,21.0,3.0,0.1261714,0.5394431
203,21.0,4.0,0.9742477,-1.758292
204,21.0,5.0,-0.387336,0.5208343
205,21.0,6.0,-0.163562,1.382814
206,21.0,7.0,-1.209613,0.5298108
207,21.0,8.0,-0.1052205,1.81125
208,21.0,9.0,0.233432,3.334133
209,21.0,10.0,0.033963,1.81531
210,22.0,1.0,-1.469799,-1.274279
211,22.0,2.0,-0.7735941,0.7755678
212,22.0,3.0,-2.34248,-2.870692
213,22.0,4.0,-0.1510078,0.8005464
214,22.0,5.0,-0.5982444,0.9196078
215,22.0,6.0,-0.3231765,1.600504
216,22.0,7.0,-1.572776,-2.307724
217,22.0,8.0,-2.091078,0.2940469
218,22.0,9.0,-0.951831,-0.1817034
219,22.0,10.0,-1.445554,1.463074
220,23.0,1.0,0.3725035,1.296975
221,23.0,2.0,0.3820614,2.208395
222,23.0,3.0,0.0626017,3.521993
223,23.0,4.0,0.3118868,0.4395174
224,23.0,5.0,-0.7015404,-1.236747
225,23.0,6.0,-1.061542,-1.303136
226,23.0,7.0,0.3601503,-1.04813
227,23.0,8.0,-0.5234128,-0.0554307
228,23.0,9.0,-0.4160686,-1.818478
229,23.0,10.0,-0.935867,-0.9283634
230,24.0,1.0,0.615806,0.3311929
231,24.0,2.0,0.8959293,0.3965915
232,24.0,3.0,1.041519,0.761867
233,24.0,4.0,0.8322722,0.5173993
234,24.0,5.0,1.241602,2.09244
235,24.0,6.0,-0.525863,-1.223376
236,24.0,7.0,1.244826,0.7953752
237,24.0,8.0,0.554536,-1.143122
238,24.0,9.0,0.8645113,-1.19864
239,24.0,10.0,-0.9087342,-1.909376
240,25.0,1.0,2.490452,3.036211
241,25.0,2.0,0.566798,-0.3936324
242,25.0,3.0,1.174179,4.968726
243,25.0,4.0,1.337521,3.712697
244,25.0,5.0,1.640917,0.5074627
245,25.0,6.0,1.151234,4.668456
246,25.0,7.0,1.665541,2.425635
247,25.0,8.0,0.5556951,0.6610473
248,25.0,9.0,2.255266,2.723161
249,25.0,10.0,1.204085,-0.8891255
250,26.0,1.0,-1.064435,-1.178893
251,26.0,2.0,-1.507475,0.2652018
252,26.0,3.0,-0.8579538,-2.429297
253,26.0,4.0,-0.9578646,-1.4996
254,26.0,5.0,-1.380655,-1.76092
255,26.0,6.0,0.4141689,2.402735
256,26.0,7.0,-0.0267256,-1.490961
257,26.0,8.0,-1.557922,0.8440058
258,26.0,9.0,0.3288124,0.7986623
259,26.0,10.0,-0.3716564,-2.116218
260,27.0,1.0,-0.3418024,-3.62125
261,27.0,2.0,-0.5443683,-1.823602
262,27.0,3.0,-0.3091648,-2.701856
263,27.0,4.0,-1.808666,-5.609725
264,27.0,5.0,0.0141565,-1.931061
265,27.0,6.0,0.6868294,-1.941063
266,27.0,7.0,-1.186494,-3.378432
267,27.0,8.0,0.0788637,-2.170361
268,27.0,9.0,0.1955413,-2.742892
269,27.0,10.0,-1.73326,-5.803233
270,28.0,1.0,2.037613,0.370481
271,28.0,2.0,0.4098332,2.592271
272,28.0,3.0,2.589939,2.755091
273,28.0,4.0,0.4561431,2.675986
274,28.0,5.0,0.0258005,1.062077
275,28.0,6.0,0.3613938,-0.4269319
276,28.0,7.0,1.01658,1.794224
277,28.0,8.0,0.6531302,-0.487547
278,28.0,9.0,1.239858,0.2717134
279,28.0,10.0,1.733052,1.12657
280,29.0,1.0,1.528067,-2.546305
281,29.0,2.0,-0.1173849,-4.213757
282,29.0,3.0,0.1412974,-3.165163
283,29.0,4.0,1.161742,-4.47086
284,29.0,5.0,0.2451712,-1.843103
285,29.0,6.0,-0.0870678,-3.126637
286,29.0,7.0,-0.9637305,-5.905717
287,29.0,8.0,-0.0554156,-2.196696
288,29.0,9.0,-0.4720482,-4.647809
289,29.0,10.0,0.1132368,-3.675967
290,30.0,1.0,0.6572391,-0.1810672
291,30.0,2.0,0.6745709,-0.5412003
292,30.0,3.0,0.4953664,-1.938183
293,30.0,4.0,0.8027694,-1.049345
294,30.0,5.0,1.334518,2.330137
295,30.0,6.0,0.595479,0.5037384
